AA201021	Alabama	[["MedicaidNumber"],["LastName","FirstName","BirthDate"],["Ssn","BirthDate"]]
AA201024	Arkansas	[["MedicaidNumber","BirthDate"],["MedicaidNumber","FirstName","BirthDate"],["MedicaidNumber","LastName","FirstName"],["MedicaidNumber","BirthDate","LastName","FirstName"],["LastName","FirstName","BirthDate"]]
AA201025	California	[["MedicaidNumber","BirthDate"]]
AA201026	Colorado	[["MedicaidNumber","BirthDate"],["LastName","FirstName","BirthDate"],["Ssn","LastName","FirstName"],["Ssn","BirthDate"]]
AA201027	Connecticut	[["MedicaidNumber","Ssn"],["MedicaidNumber","BirthDate"],["Ssn","LastName","FirstName","BirthDate"]]
AA201028	DC	[["MedicaidNumber"],["Ssn","BirthDate"],["Ssn","LastName","FirstName"],["LastName","FirstName","BirthDate"]]
AA201029	Delaware	[["MedicaidNumber","LastName","FirstName","BirthDate"],["MedicaidNumber","LastName","BirthDate"],["MedicaidNumber","LastName","FirstName"],["MedicaidNumber","Ssn","BirthDate"],["MedicaidNumber","Ssn"],["MedicaidNumber","BirthDate"],["MedicaidNumber"],["LastName","FirstName","Ssn","BirthDate"],["LastName","FirstName","BirthDate"],["LastName","Ssn","BirthDate"]]
AA201030	Florida	[["MedicaidNumber"],["LastName","FirstName","BirthDate","Sex"],["Ssn","LastName","FirstName"],["Ssn","BirthDate"]]
AA201031	Georgia	[["MedicaidNumber"],["Ssn","BirthDate"],["Ssn","LastName","FirstName"],["LastName","FirstName","Sex","BirthDate"]]
AA201033	Idaho	[["MedicaidNumber","BirthDate"],["MedicaidNumber","Ssn"],["MedicaidNumber","LastName","FirstName"],["Ssn","LastName","FirstName"],["Ssn","BirthDate"],["LastName","FirstName","BirthDate"]]
AA201034	Illinois	[["MedicaidNumber"],["Ssn","LastName","FirstName"],["Ssn","BirthDate"],["LastName","FirstName","BirthDate"]]
AA201035	Indiana	[["MedicaidNumber"],["Ssn"],["LastName","FirstName","BirthDate"],["MedicareNumber"]]
AA201036	Iowa	[["MedicaidNumber"],["Ssn","BirthDate"],["LastName","FirstName","BirthDate"]]
AA201037	Kansas	[["MedicaidNumber"],["Ssn","BirthDate"],["FirstName","LastName","BirthDate"]]
AA201038	Kentucky	[["MedicaidNumber"],["Ssn","LastName","FirstName"]]
AA201039	Louisiana	[["MedicaidNumber","BirthDate"],["MedicaidNumber","FirstName","LastName"],["FirstName","LastName","Ssn"],["FirstName","LastName","BirthDate"],["BirthDate","Ssn"]]
AA201040	Maine	[["MedicaidNumber"],["Ssn"],["LastName","FirstName","BirthDate","Sex"]]
AA201041	Maryland	[["MedicaidNumber"],["Ssn","BirthDate"],["LastName","FirstName","BirthDate"]]
AA201042	Massachusetts	[["MedicaidNumber","Ssn"],["MedicaidNumber","LastName","FirstName"],["MedicaidNumber","BirthDate"],["Ssn","LastName","FirstName"],["Ssn","BirthDate"],["LastName","FirstName","BirthDate"]]
AA201043	Michigan	[["MedicaidNumber"],["Ssn"],["LastName","FirstName","BirthDate","Sex"]]
AA201044	Minnesota	[["MedicaidNumber"],["Ssn","BirthDate"],["Ssn","LastName","FirstName"],["LastName","FirstName","BirthDate"]]
AA201045	Mississippi	[["MedicaidNumber","BirthDate"],["Ssn","BirthDate"],["Ssn","LastName","FirstName"],["LastName","FirstName","BirthDate"]]
AA201046	Missouri	[["MedicaidNumber"],["Ssn","LastName","FirstName"],["LastName","FirstName","BirthDate"]]
AA201047	Montana	[["MedicaidNumber"],["Ssn","BirthDate"],["LastName","FirstName","BirthDate"]]
AA201048	Nebraska	[["MedicaidNumber"],["LastName","FirstName","BirthDate"]]
AA201049	Nevada	[["MedicaidNumber"],["FirstName","LastName","BirthDate"],["Ssn","BirthDate"]]
AA201050	New Hampshire	[["MedicaidNumber"],["Ssn","LastName","FirstName","BirthDate"]]
AA201051	New Jersey	[["MedicaidNumber"],["Ssn","LastName","FirstName","BirthDate"]]
AA201052	New Mexico	[["MedicaidNumber"],["Ssn","BirthDate"],["Ssn","LastName","FirstName"],["LastName","FirstName","BirthDate"]]
AA201053	New York	[["MedicaidNumber"],["Ssn","LastName","FirstName","BirthDate"]]
AA201054	North Carolina	[["MedicaidNumber"],["Ssn","BirthDate"],["Ssn","LastName","FirstName"]]
AA201055	North Dakota	[["MedicaidNumber"],["Ssn","BirthDate"],["MedicaidNumber","Ssn","BirthDate"],["MedicaidNumber","LastName","BirthDate"],["MedicaidNumber","LastName","FirstName"],["LastName","FirstName","BirthDate"]]
AA201056	Ohio	[["MedicaidNumber"],["FirstName","LastName","BirthDate","Sex"],["Ssn","BirthDate"],["Ssn","FirstName","LastName"]]
AA201057	Oklahoma	[["MedicaidNumber","BirthDate"],["MedicaidNumber","LastName"],["LastName","FirstName","BirthDate"],["MedicaidNumber","Ssn"],["Ssn","LastName","FirstName"]]
AA201058	Oregon	[["MedicaidNumber"],["Ssn","BirthDate"],["LastName","FirstName","BirthDate"]]
AA201059	Pennsylvania	[["MedicaidNumber","LastName","FirstName"],["MedicaidNumber","BirthDate"],["LastName","FirstName","BirthDate"]]
AA201060	Rhode Island	[["MedicaidNumber"],["FirstName","LastName","BirthDate"]]
AA201061	South Carolina	[["MedicaidNumber"],["Ssn","BirthDate"],["LastName","FirstName","BirthDate"]]
AA201062	South Dakota	[["MedicaidNumber"],["Ssn","BirthDate"],["LastName","FirstName","BirthDate"]]
AA201063	Tennessee	[["MedicaidNumber"]]
AA201064	Texas	[["MedicaidNumber"],["Ssn","LastName"],["LastName","FirstName","BirthDate"]]
AA201065	Texas LTC	[["LastName","FirstName","BirthDate"],["Ssn","LastName"],["Ssn","BirthDate"],["MedicaidNumber"]]
AA201066	Utah	[["MedicaidNumber","LastName","FirstName","BirthDate"]]
AA201067	Vermont	[["MedicaidNumber"],["MedicaidNumber","LastName","FirstName","BirthDate"],["MedicaidNumber","BirthDate"]]
AA201068	Virginia	[["MedicaidNumber"],["Ssn","BirthDate"],["Ssn","LastName","FirstName"],["LastName","FirstName","BirthDate"]]
